SOURCE	TARGET	count
Naive T_RA_BT	GNLY+ NK_RA_AT	51
Naive T_RA_BT	Naive T_RA_AT	35
Naive T_RA_BT	ZNF683+ CD8+ Trm_RA_AT	36
Naive T_RA_BT	Proliferating NK_RA_AT	34
Naive T_RA_BT	Treg_RA_AT	41
Naive T_RA_BT	CD4+ Tex_RA_AT	58
Naive T_RA_BT	GZMK+ CD8+ Tem2_RA_AT	27
Naive T_RA_BT	GZMK+ CD8+ Tem1_RA_AT	32
Naive T_RA_BT	Proliferating CD8+ T_RA_AT	61
Naive T_RA_BT	GZMK+ CD8+ NKTem_RA_AT	34
Treg_RA_BT	ZNF683+ CD8+ Trm_OA_BT	10
Treg_RA_BT	GZMK+ CD8+ NKTem_OA_BT	26
Treg_RA_BT	GNLY+ NK_OA_BT	17
Treg_RA_BT	Naive T_OA_BT	8
Treg_RA_BT	GZMK+ CD8+ Tem2_OA_BT	14
Treg_RA_BT	GZMK+ CD8+ Tem1_OA_BT	11
Treg_RA_BT	Proliferating CD8+ T_OA_BT	24
Treg_RA_BT	CD4+ Tex_OA_BT	14
Treg_RA_BT	Treg_OA_BT	11
Treg_RA_BT	Proliferating NK_OA_BT	21
Treg_RA_BT	Naive T_RA_BT	39
Treg_RA_BT	Treg_RA_BT	19
Treg_RA_BT	CD4+ Tex_RA_BT	51
Treg_RA_BT	GZMK+ CD8+ Tem2_RA_BT	35
Treg_RA_BT	GNLY+ NK_RA_BT	43
Treg_RA_BT	ZNF683+ CD8+ Trm_RA_BT	36
Treg_RA_BT	Proliferating CD8+ T_RA_BT	54
Treg_RA_BT	GZMK+ CD8+ Tem1_RA_BT	46
Treg_RA_BT	Proliferating NK_RA_BT	30
Treg_RA_BT	GZMK+ CD8+ NKTem_RA_BT	35
Treg_RA_BT	GNLY+ NK_RA_AT	45
Treg_RA_BT	Naive T_RA_AT	28
Treg_RA_BT	ZNF683+ CD8+ Trm_RA_AT	30
Treg_RA_BT	Proliferating NK_RA_AT	30
Treg_RA_BT	Treg_RA_AT	39
Treg_RA_BT	CD4+ Tex_RA_AT	55
Treg_RA_BT	GZMK+ CD8+ Tem2_RA_AT	24
Treg_RA_BT	GZMK+ CD8+ Tem1_RA_AT	29
Treg_RA_BT	Proliferating CD8+ T_RA_AT	57
Treg_RA_BT	GZMK+ CD8+ NKTem_RA_AT	30
CD4+ Tex_RA_BT	ZNF683+ CD8+ Trm_OA_BT	17
CD4+ Tex_RA_BT	GZMK+ CD8+ NKTem_OA_BT	35
CD4+ Tex_RA_BT	GNLY+ NK_OA_BT	22
CD4+ Tex_RA_BT	Naive T_OA_BT	16
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem2_OA_BT	21
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem1_OA_BT	18
CD4+ Tex_RA_BT	Proliferating CD8+ T_OA_BT	37
CD4+ Tex_RA_BT	CD4+ Tex_OA_BT	20
CD4+ Tex_RA_BT	Treg_OA_BT	15
CD4+ Tex_RA_BT	Proliferating NK_OA_BT	30
CD4+ Tex_RA_BT	Naive T_RA_BT	57
CD4+ Tex_RA_BT	Treg_RA_BT	51
CD4+ Tex_RA_BT	CD4+ Tex_RA_BT	34
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem2_RA_BT	48
CD4+ Tex_RA_BT	GNLY+ NK_RA_BT	60
CD4+ Tex_RA_BT	ZNF683+ CD8+ Trm_RA_BT	54
CD4+ Tex_RA_BT	Proliferating CD8+ T_RA_BT	76
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem1_RA_BT	63
CD4+ Tex_RA_BT	Proliferating NK_RA_BT	41
CD4+ Tex_RA_BT	GZMK+ CD8+ NKTem_RA_BT	51
CD4+ Tex_RA_BT	GNLY+ NK_RA_AT	63
CD4+ Tex_RA_BT	Naive T_RA_AT	45
CD4+ Tex_RA_BT	ZNF683+ CD8+ Trm_RA_AT	50
CD4+ Tex_RA_BT	Proliferating NK_RA_AT	48
CD4+ Tex_RA_BT	Treg_RA_AT	54
CD4+ Tex_RA_BT	CD4+ Tex_RA_AT	71
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem2_RA_AT	38
CD4+ Tex_RA_BT	GZMK+ CD8+ Tem1_RA_AT	47
CD4+ Tex_RA_BT	Proliferating CD8+ T_RA_AT	75
CD4+ Tex_RA_BT	GZMK+ CD8+ NKTem_RA_AT	45
GZMK+ CD8+ Tem2_RA_BT	ZNF683+ CD8+ Trm_OA_BT	6
GZMK+ CD8+ Tem2_RA_BT	GZMK+ CD8+ NKTem_OA_BT	23
