SOURCE	TARGET	count
SPP1+ Mac_RA_BT	IEG Mac_OA_BT	34
SPP1+ Mac_RA_BT	Mac_OA_BT	25
SPP1+ Mac_RA_BT	CCL4+ Mac_OA_BT	14
SPP1+ Mac_RA_BT	SPP1+ Mac_RA_BT	91
SPP1+ Mac_RA_BT	S100A12+ Mac_RA_BT	165
SPP1+ Mac_RA_BT	IEG Mac_RA_BT	144
SPP1+ Mac_RA_BT	Mac_RA_BT	124
SPP1+ Mac_RA_BT	C1QC+ Mac_RA_BT	135
SPP1+ Mac_RA_BT	CCL4+ Mac_RA_BT	160
SPP1+ Mac_RA_BT	Mac_RA_AT	108
SPP1+ Mac_RA_BT	C1QC+ Mac_RA_AT	147
SPP1+ Mac_RA_BT	SPP1+ Mac_RA_AT	155
SPP1+ Mac_RA_BT	S100A12+ Mac_RA_AT	149
SPP1+ Mac_RA_BT	IEG Mac_RA_AT	106
SPP1+ Mac_RA_BT	CCL4+ Mac_RA_AT	159
SPP1+ Mac_RA_BT	ZNF683+ CD8+ Trm_OA_BT	34
SPP1+ Mac_RA_BT	GZMK+ CD8+ NKTem_OA_BT	48
SPP1+ Mac_RA_BT	GNLY+ NK_OA_BT	28
SPP1+ Mac_RA_BT	Naive T_OA_BT	36
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem2_OA_BT	28
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem1_OA_BT	31
SPP1+ Mac_RA_BT	Proliferating CD8+ T_OA_BT	62
SPP1+ Mac_RA_BT	CD4+ Tex_OA_BT	33
SPP1+ Mac_RA_BT	Treg_OA_BT	24
SPP1+ Mac_RA_BT	Proliferating NK_OA_BT	40
SPP1+ Mac_RA_BT	Naive T_RA_BT	73
SPP1+ Mac_RA_BT	Treg_RA_BT	68
SPP1+ Mac_RA_BT	CD4+ Tex_RA_BT	83
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem2_RA_BT	67
SPP1+ Mac_RA_BT	GNLY+ NK_RA_BT	75
SPP1+ Mac_RA_BT	ZNF683+ CD8+ Trm_RA_BT	70
SPP1+ Mac_RA_BT	Proliferating CD8+ T_RA_BT	93
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem1_RA_BT	74
SPP1+ Mac_RA_BT	Proliferating NK_RA_BT	34
SPP1+ Mac_RA_BT	GZMK+ CD8+ NKTem_RA_BT	64
SPP1+ Mac_RA_BT	GNLY+ NK_RA_AT	75
SPP1+ Mac_RA_BT	Naive T_RA_AT	61
SPP1+ Mac_RA_BT	ZNF683+ CD8+ Trm_RA_AT	62
SPP1+ Mac_RA_BT	Proliferating NK_RA_AT	44
SPP1+ Mac_RA_BT	Treg_RA_AT	63
SPP1+ Mac_RA_BT	CD4+ Tex_RA_AT	81
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem2_RA_AT	48
SPP1+ Mac_RA_BT	GZMK+ CD8+ Tem1_RA_AT	54
